 ,Nama Sekolah,NPSN,BP,Status,Last Sync,Jml Sync,PD,Rombel,Guru,Pegawai,R. Kelas,R. Lab,R. Perpus,Klaster
1,SMA DON BOSKO,20331899.0,SMA,Swasta,09 Aug 2024 07:54:19,14,611.0,18,29,12,18,5,2,1.0
2,SMA MARIA REGINA,69886194.0,SMA,Swasta,23 Jul 2024 07:32:01,5,55.0,3,17,1,6,3,1,0.0
3,SMA TEUKU UMAR,20331914.0,SMA,Swasta,01 Aug 2024 07:42:44,24,480.0,14,25,12,14,5,1,1.0
4,SMA WIDYA MANDALA,20331917.0,SMA,Swasta,21 Jul 2024 18:00:36,28,26.0,3,1,3,3,1,1,0.0
5,SMA AGUS SALIM,20331893.0,SMA,Swasta,06 Aug 2024 13:10:21,14,78.0,3,6,3,3,2,1,0.0
6,SMA AL FATTAH,20331894.0,SMA,Swasta,10 Aug 2024 09:15:27,49,107.0,4,11,6,5,2,1,0.0
7,SMA KESATRIAN 2,20331904.0,SMA,Swasta,09 Aug 2024 14:35:50,22,410.0,13,33,4,23,6,1,1.0
9,SMA AL ISLAM,20331895.0,SMA,Swasta,07 Aug 2024 10:00:13,20,30.0,3,5,2,3,2,1,0.0
10,SMA ISLAM SULTAN AGUNG 3,20328917.0,SMA,Swasta,12 Aug 2024 23:05:22,24,272.0,10,17,9,12,5,1,0.0
12,SMA AL USWAH,20331896.0,SMA,Swasta,10 Aug 2024 11:18:38,11,57.0,3,4,3,3,2,1,0.0
13,SMA IT Bina Amal,69944788.0,SMA,Swasta,13 Aug 2024 11:09:42,14,144.0,6,20,3,6,4,1,0.0
14,SMA SEMESTA,20328912.0,SPK SMA,Swasta,13 Aug 2024 07:50:02,34,241.0,12,30,15,18,4,1,0.0
15,SMA NEGERI 13,20328910.0,SMA,Negeri,14 Aug 2024 11:39:05,32,849.0,24,45,17,24,6,1,1.0
16,SMA NEGERI 16,20328897.0,SMA,Negeri,30 Jul 2024 09:12:20,39,633.0,18,33,13,18,3,1,1.0
17,SMA ISLAM AL AZHAR 16,69896909.0,SMA,Swasta,08 Aug 2024 07:20:43,13,186.0,6,18,3,7,5,1,0.0
18,SMA MUHAMMADIYAH 2,20331909.0,SMA,Swasta,13 Aug 2024 08:23:25,7,58.0,4,7,3,4,1,1,0.0
